tick,10P_x,10P_y,5P_x,5P_y,10PB_x,10PB_y,5PB_x,5PB_y,10B_x,10B_y,5B_x,5B_y,10BG_x,10BG_y,5GB_x,5GB_y,10G_x,10G_y,5G_x,5G_y,10GY_x,10GY_y,5GY_x,5GY_y,10Y_x,10Y_y,5Y_x,5Y_y,10YR_x,10YR_y,5YR_x,5YR_y,10R_x,10R_y,5R_x,5R_y,10RP_x,10RP_y,5RP_x,5RP_y
25,33.34150140613763,277.3606806232713,80.08728153152472,236.2115042869181,131.4840622025798,171.92844781860762,399.9697403970401,387.0995737495856,293.22056025291556,151.25028369144803,24.80890763015086,174.50467491717174,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,455.0329111952896,195.11018265337202,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,26.27454384014219,446.65657498407995,350.83486544147735,350.5010352507513,380.6954259289518,74.02205247335097,293.3463966796235,438.00269425477603,448.8345383389398,96.7643758741965,374.25347197936264,203.97406420492652,422.97427678615503,306.5966976937922,257.3830398309587,423.12306242587664,110.35603620395968,173.8862743985082
26,34.06791982785913,276.6734279211423,80.08728153152472,236.2115042869181,131.09313907114284,172.84887114800966,399.5438938682055,386.19477833962844,293.9140231538429,151.97077602661713,25.470828561507822,175.2542485830856,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,454.0711493989637,195.38406994246722,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,27.153017582114913,446.1787843555988,350.1320190897254,349.7896935566063,381.0135607954861,74.97009793992692,293.36509491765065,437.002869082111,448.0548320009981,97.39052124595415,374.25347197936264,203.97406420492652,422.21402354536013,305.9470708702536,258.0349015411627,422.36472456530925,110.4198935598304,174.88423343479235
27,34.798791258757994,275.9909127553798,80.08728153152472,236.2115042869181,130.72039921564786,173.77680702948294,399.11996225470097,385.28908413788514,294.6056696123556,152.693012259734,26.131811477152596,176.00464953272902,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,453.10884250209864,195.65603581577838,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,28.030642387827594,445.6994361518911,350.1320190897254,349.7896935566063,381.32771283477217,75.91947062555275,293.3845729586035,436.00305879714654,447.2776759144918,98.01982913340372,374.25347197936264,203.97406420492652,421.4629377850792,305.28686621963135,258.6794625250528,421.6001716645584,110.4980673694414,175.88117317995798
28,35.534246709038264,275.3133396739686,80.08728153152472,236.2115042869181,130.36665167661047,174.71214797193386,398.7027776318281,384.3802623784414,295.29544414510315,153.41703649549746,26.791888445139143,176.7558475068568,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,452.1459747569185,195.92600934279872,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,28.90741493199276,445.21853085373135,349.4296156267265,349.0779145353033,381.6378384725322,76.87016620711601,293.4018137707835,435.00320743099485,446.5030899044548,98.65229772001884,374.25347197936264,203.97406420492652,420.72064883525286,304.6167862878578,259.3142302097382,420.82746862555877,110.59080901559365,176.8768633863319
29,36.27441980278742,274.640923291591,80.08728153152472,236.2115042869181,130.032739026742,175.65475199391648,398.28774124047044,383.47045756758973,295.98328890808307,154.14289432044743,27.451094068155406,177.50781023637452,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,451.1825310281902,196.19392011446374,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,29.783328810593055,444.7360633654221,349.4296156267265,349.0779145353033,381.9438931065209,77.82218015712624,293.4197622161056,434.003368517314,445.7310932000788,99.2879242522157,374.25347197936264,203.97406420492652,419.98854869549865,303.9355892639566,259.94128814962653,420.04849600728323,110.6983691032142,177.87106197190275
30,37.01944655643136,273.973888707514,80.08728153152472,236.2115042869181,129.7195361734253,176.6044382435138,397.88018839193285,382.5572759451022,296.66914357054765,154.87063286001754,28.10946560315706,178.26050334907023,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,450.2184921708023,196.45968143867424,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,30.65838086110994,444.2520345347868,348.7277494010427,348.36560575307163,382.2458310490041,78.77550773927678,293.4353333494766,433.0034897547605,444.961704334505,99.92670494504466,373.4185633515677,204.5244527796931,419.25791186490414,303.25282296295836,260.55804199548146,419.26133992770104,110.28490671517768,178.7815831708208
31,37.76863499418773,273.3115317910919,80.08728153152472,236.2115042869181,129.42438415609251,177.55988854921495,397.4749631930548,381.64305904622415,297.3523118674123,155.60089382580924,28.766158565789713,179.01466139141198,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,449.2534528584229,196.72178661901677,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,31.53256387963814,443.7664379428332,348.7277494010427,348.36560575307163,382.54080849213324,79.73101195593152,293.45153336796426,432.0036209836705,444.19469999561755,100.56834685774044,373.4185633515677,204.5244527796931,418.53847389816633,302.55826626115777,261.1666535453449,418.4678716035867,109.87593325055269,179.6941294464872
32,38.52211733334256,272.6540636438925,80.08728153152472,236.2115042869181,129.14788941219393,178.52090397916209,397.07796461384356,380.7252398221368,298.0333677512709,156.3331252667223,29.42117418178851,179.77027673191117,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,448.2877866956877,196.98157280446222,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,32.405873985121524,443.27927322771046,348.0261582411556,347.6530260421843,382.8315741914783,80.68780624316592,293.4652053969102,431.00371445022625,443.43031851914606,101.21311112352076,373.4185633515677,204.5244527796931,417.8297160058579,301.85281445551084,261.7644250900595,417.66620510164864,109.47161104053869,180.6087460604241
33,39.28002970343421,272.00170726946055,80.08728153152472,236.2115042869181,128.89066680627366,179.48725615668516,396.68356707975704,379.80629989749184,298.71224279538234,157.0673790882872,30.074515109869306,180.52734055464643,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,447.3214706869593,197.23893125346896,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,33.27830398976035,442.79053414905405,348.0261582411556,347.6530260421843,383.11807880915296,81.64588510424736,293.4794206616865,430.0038154922073,442.668575243328,101.86099011048208,373.4185633515677,204.5244527796931,417.1334124128693,301.1350670721013,262.35359848762306,416.8581984756836,109.07211239386572,181.52547984474018
34,40.04251207764555,271.35469828264735,80.08728153152472,236.2115042869181,128.65333324897748,180.45868437461027,396.2982992808451,378.8834950843696,299.65584753956244,157.3984532291692,30.7261855125562,181.2858428198124,127.5042211316976,364.3654162912986,341.1298451899109,305.52674359841706,446.35447631344715,197.4937289802952,412.53899156518344,171.3079272877919,366.0327997986047,262.83710583530745,34.14985015880395,442.3002207031591,347.3250821718157,346.93993955023615,383.4018155304952,82.60478732708447,293.49094973305756,429.0038819541592,441.9095495404033,102.51205076994454,373.4185633515677,204.5244527796931,416.4488923612842,300.4060730399049,262.931373112652,416.0420021251204,108.67762020216657,182.44437913774698
